,test data,actual topic,predicted topic
850,"fibronics international inc <fbrx> 4th qtr loss shr loss 14 cts vs loss one ct     net loss 836,327 vs loss 34,926     revs 8,939,390 vs 8,136,160     year     shr loss 34 cts vs loss nil     net loss 2,008,103 vs loss 14,078     revs 30.1 mln vs 28.0 mln     note: year-ago results restated to reflect acquisition of spartacus inc in febaruary 1986.  reuter ;","('earn',)","('earn',)"
851,"lyng defends u.s. meat inspection system u.s. agriculture secretary richard lyng, reacting to recent criticism of u.s. meat inspection, defended the program saying the united states has the best inspection system in the world.     speaking to representatives of the u.s. national cattlemen's association, nca, lyng attacked what he called recent ""terribly biased"" press reports critical of usda poultry inspection. he cited a report on cbs ""60 minutes"" which criticized usda salmonella detection in poultry.     ""i know we have the finest meat and poultry inspection system in the world,"" lyng told the cattlemen.     lyng said usda makes every effort to minimize the levels of salmonella in poultry, but added ""the total elimination of harmful bacteria is virtually impossible in this world.""  reuter ;","('carcass', 'livestock')","('carcass', 'livestock')"
852,"ec industry output growth slows in 1986 european community industrial output increased by an average of around two pct last year, compared with 3.3 pct growth recorded in 1985 against a year earlier, the ec statistics office eurostat said.     growth was highest in portugal at five pct, while in greece output contracted by 0.3 pct, eurostat said in a statement.     eurostat noted output growth also fell in the u.s. and japan. u.s. production increased 1.1 pct after 2.0 pct in 1985, while in japan output contracted by 0.5 pct after rising 4.5 pct a year earlier.     eurostat said ec industrial production in december rose 3.1 pct compared with 12 months earlier but added that after adjustment for seasonal factors, output growth had been clearly slowing down since the beginning of the summe  reuter ;","('ipi',)","('cpi',)"
853,"enron <ene> to pay dividends on preferred enron corp said it will pay accrued second quarter dividends on the three series of preferred stock it will redeem on may 1.     the company said it will pay second quarter accrued dividends to the redemption date of 53 cts per share on the 6.40 pct stock, 56 cts on 6.84 pct and 70 cts on 8.48 pct.  reuter ;","('earn',)","('earn',)"
854,"wtd industries <wtdi> sawmill offer rejected wtd industries inc said its offer to buy the bankrupt harris pine sawmill in pendleton, oregon was rejected by the bankruptcy court trustee.     the company said the bid was rjected in favor of a higher offer.  reuter ;","('acq',)","('acq',)"
855,"u.k. money market deficit forecast at 800 mln stg the bank of england said it forecast a shortage of around 800 mln stg in the money market today.     among the main factors affecting liquidity, bills maturing in official hands and the take-up of treasury bills will drain around 1.18 billion stg while bankers balances below target will take out some 20 mln stg.     partly offseting these outflows, a fall in note circulation and exchequer transactions will add some 355 and 55 mln stg to the system respectively.  reuter ;","('interest', 'money-fx')","('money-fx',)"
856,"cocoa chairman works towards buffer compromise international cocoa organization's, icco, council chairman denis bra kanon continued work towards a compromise plan on how the icco buffer stock should buy cocoa, consumer delegates said.     consumer delegates said bra kanon had not formally presented the compromise plan to producers and consumers, and it was unlikely he would do so before friday, they said.     there was widespread confidence a result on the outstanding items could be reached by friday, when the council session is due to end, consumers said.     bra kanon completed bilateral consultations with several delegations today on the main sticking points in the draft buffer stock rules package, they said.     certain delegations wanted further discussion on the amount of non-member cocoa the buffer stock will be permitted to buy, differentials for different origin cocoas and limits on buffer stock purchases of nearby, and forward material, the delegates said.     the buffer stock working group finalized the remaining buffer stock rules, with only minor modifications to the original draft buffer stock package produced last week, the delegates said.     the icco council is due to elect a new executive director when it reconvenes friday, producer delegates said.     producers intend to present a single candidate for the post, and this is most likely to be edouard kouame from ivory coast, they said.     earlier, the existing executive director, kobena erbynn from ghana, was expected to re-nominated, but he is now likely to withdraw, the delegates said.     the executive committee is due to meet friday at 1100 gmt, with the council unlikely to reconvene until late friday, consumers said.  reuter ;","('cocoa',)","('cocoa',)"
857,"miyazawa says present yen not necessarily ideal finance minister kiichi miyazawa told a parliamentary session the current dollar/yen exchange rate is not necessarily satisfactory for the japanese economy.     miyazawa said the paris currency accord among six major industrial nations last month does not necessarily mean the yen should stay stable around current levels in the future.     the paris agreement was aimed at stopping a further rapid fluctuation of exchange rates, he said.     the accord stipulated that current rates reflect fundamentals of the six nations - britain, canada, france, japan, the u.s. and west germany.  reuter ;","('money-fx', 'yen')","('money-fx',)"
858,"mccormick capital <mkor> 1986 year net shr primary 24 cts vs 25 cts     shr diluted 21 cts vs 25 cts     net 530,583 vs 493,423     revs 10.2 mln vs 9,834,578  reuter ;","('earn',)","('earn',)"
859,"mercantile bankshares corp <mrbk.o> 3rd qtr net shr 99 cts vs 77 cts     net 12.7 mln vs 9,736,000     avg shrs 12.8 mln vs 12.7 mln     nine mths     shr 2.67 dlrs vs 2.30 dlrs     net 34.0 mln vs 29.1 mln     note: net includes pretax securities gains 16,000 dlrs vs 228,000 dlrs in quarter and 48,000 dlrs vs 1,673,000 dlrs in nine mths.     net includes loan loss provisions 1,092,000 dlrs vs 790,000 dlrs in quarter and 3,089,000 dlrs vs 2,584,000 dlrs in nine mths.     reuter ;","('earn',)","('earn',)"
860,"u.s. feb durable goods rose 6.0 pct new orders for durable goods received by u.s. manufacturers rose 5.7 billion dlrs, or 6.0 pct, in february to 101.2 billion dlrs, the commerce department said.     excluding defense, orders rose 3.8 pct, compared with a revised january decline of 7.7 pct.     in january, durable goods fell a revised 9.9 pct instead of the previously reported 7.5 pct. durables excluding defense were reported originally as having fallen 9.9 pct in january.     the commerce department on monday revised orders statistics for 1982 to 1986 to reflect more current inventory valuation methods, and the february orders statistics are consistent with the revisions, officials said.     the february order increase was led by transportation equipment, up 11.1 pct after an 18.0 pct decline in january.     orders for defense capital goods rose 48.9 pct to 6.9 billion dlrs, following a 38.8 pct decline in january.     non-defense capital goods orders fell 1.6 pct in february to 26.3 billion dlrs after falling 8.7 pct in january, the department said.     electrical machinery orders rose in february by 8.2 pct to 17.2 billion dlrs after falling 15.4 pct in january.     primary metals orders were up 13.9 pct to 8.4 billion dlrs after a 20 pct decline in january, the department said.     new orders for non-electrical machinery were up in february by 3.9 pct to 16.6 billion dlrs after a three pct orders decline in january.  reuter ;","('retail',)","('retail',)"
861,"hillsdown holdings plc <hldn.l> 1986 year shr 16.3p vs 12.2p     div 2.75p vs 2.25p making 3.8p vs 3.15p adjusted for     three-for-one capitalisation     pre-tax profit 54.9 mln stg vs 33.4 mln     turnover 1.70 billion vs 1.13 billion     tax 7.6 mln vs 2.6 mlnprofit attributable 51.9 mln vs 30.1     mln     cost of sales 1.49 billion vs 999.3 mln     gross profit 215.9 mln vs 136.2 mln     distribution costs 90.3 mln vs 57.2 mln     adminstrative expenses 65.9 mln vs 40.8 mln     other operating income 3.9 mln vs nil     interest payable 8.7 mln vs 4.8 mln     minority interests 1.0 mln vs 0.7 mln     extraordinary credit (sale of share in s and w berisford plc) 5.6 mln vs nil     operating profit includes -     poultry, eggs and animal feed 21.7 mln vs 17.2 mln     food processing and distribution 15.4 mln vs 6.9 mln     furniture and timber distribution 8.4 mln vs 3.4 mln     fresh meat and bacon 8.0 mln vs 4.5 mln  reuter ;","('earn',)","('earn',)"
862,"ec and comecon ends talks with progress the european community (ec) and soviet-led comecon ended talks here, having made progress on setting up formal trade relations, but no breakthrough because of comecon's refusal to recognise west berlin as part of the ec, delegates said.     negotiators were trying to reach agreement on the draft of a joint declaration setting up official relations after 30 years of mutual non-recognition. john maslen, head of the ec delegation, told reuters as he emerged from the final session: ""we made some progress, but we have called for another meeting.""     officials, who asked not to be named, said the comecon team had refused to accept a clause in the draft declaration which would recognise west berlin as part of the 12-nation ec.     under the 1957 treaty of rome all contracts and agreements signed by the community must contain this territorial clause stipulating west berlin is an integral part of the ec. an ec negotiator taking part in the three-day talks said: ""we wanted the territorial clause in, but comecon said no.""     a joint statement issued after the talks said progress was made towards clarifying positions, but another meeting would be necessary to complete the work.     any decision in principle to set up relations would require approval by the community's council of ministers and by the executive committee of comecon.     zdzislaw kuroski, deputy director of comecon, who heads the east bloc delegation, told reuters ahead of today's session: ""we have narrowed our differences on a range of questions, but not on all questions.""     asked whether comecon would accept ec insistence that any joint declaration stipulate west berlin as part of the community, he replied: ""this question is not contained in the draft which our side presented.""     west german diplomats said they would insist on including the clause on west berlin in any ec-comecon agreement.     the talks followed an earlier round between the two trading blocs here last september and the first-ever direct talks between the ec and the soviet union on establishing diplomatic relations in january.     the ec trades with individual comecon member states despite non-recognition of comecon. last year, the ec had a five billion dlr trade deficit with east european states, about half the deficit of the previous year, due to a drop in the price of soviet oil imported by the ec.  reuter ;","('trade',)","('trade',)"
863,"thai rice exports rise in week to october 13 thai rice exports rose to 72,987 tonnes in the week ended october 13 from 54,075 the previous week, the commerce ministry said.     it said the government and private exporters shipped 26,272 and 46,715 tonnes respectively. private exporters concluded advance weekly sales for 106,640 tonnes against 98,152 the previous week. the said it ministry expects at least 65,000 tonnes in exports next week.     thailand has shipped 3.43 mln tonnes of rice in the year to date, down from 3.68 mln a year ago. it has commitments to export another 388,390 tonnes this year.  reuter ;","('grain', 'rice')","('grain', 'rice')"
864,"u.k. potato futures trading not to be suspended trading on the london potato futures market will not be suspended, richard harris, chairman of the london potato futures association (lpfa), said in a statement to floor members.     it was in response to strong representations by the potato marketing board (pmb) complaining of a gross distortion of price which they say will result in large deliveries into the physical market when the april futures position expires.     the pmb had sought an immediate suspension in futures trading and asked the lpfa to take action to restore the relationship between futures and physicals.     farmers and merchants have alleged a squeeze and cornering of the market but harris pointed out that recent investigations by the association of futures brokers and dealers (afbd), the international commodities clearing house (icch) and other parties, found no evidence to substantiate this.     the main complaint from some sections of the physical market is what they say is an unrealistic futures premium over the pmb's average ex-farm price. april futures traded this morning between 168 and 170 stg per tonne compared with pmb's average price of 104 stg.     bill englebright, joint secretary of the lpfa said there is a two-tier market for physical potatoes. he said quality potatoes are in short supply and prepackers have been paying between 145 and 165 stg per tonne for best samples. but lesser quality grades have traded below 100 stg.     some merchants fear that a large tonnage will be delivered against the april futures contract between now and the end of the month, and possibly disrupt the physical market.     harris said the lpfa rule book allows the management committee to take steps as necessary to correct any malpractice and he assured the committee is monitoring the situation.  reuter ;","('potato',)","('money-fx',)"
865,"u.k. base rates will fall again soon, say analysts today's modest half-point cut in u.k. bank base lending rates to 10 pct signals the bank of england's determination to maintain a cautious monetary stance, but financial markets appear set to force its hand, analysts said.     they said a further half-point cut in base rates to 9-1/2 pct was bound to occur within the next week and rates may shed a further half point soon if markets remain buoyant.     earlier, markets were bracing for a one-point cut in rates after yesterday's budget set a sharp three billion stg reduction in 1987 government borrowing targets to four billion stg.     sterling money market rates moved lower again, with the key three-month interbank rate down to 9-5/8 1/2 pct at the start of business from 9-11/16 9/16 yesterday, and sterling rallied to four-year highs against the dollar in very active trading.     government bond prices also surged on the budget, with gains in excess of one point pushing yields on long-term paper below nine pct for the first time in nearly a year.     but today's smaller than expected rate cut appeared to have placated markets for now, analysts said. money market rates recovered up to 1/4 point from earlier lows while both sterling and gilts came off highs as trading ground to a near halt.     analysts said the slowdown was likely to be temporary, and the reappraisal of sterling assets by international investors was set to resume as early as tomorrow, leading to higher gilt prices, exchange rate advances and lower money market rates.     ""today's cut was slightly disappointing,"" said bill martin, chief u.k. economist at stockbrokers phillips and drew. ""the bank of england is taking a very cautious line ... to temper the markets' first rush of blood to the head after the budget.""     analysts said the bank's move today to lend two-week cash to u.k. discount houses at a lower 10 pct suggested it hoped to maintain the new rates for about that period of time.     the analysts agreed success would depend largely on how sterling performs in the near term.     sharp rises in the pound's value could be checked initially through bank of england intervention but eventually the gains would force the bank to cut interest rates rates again.     ""the market seems to have accepted the modest cut for the time being,"" said midland bank treasury economist david simmonds. ""but i am sceptical that the bank will be able to hold up rates for long.""     simmonds said he saw sterling rising another two u.s. cents this week from around 1.60 dlrs, forcing a rate cut by friday.     robin marshall, chief economist at chase manhattan securities, said ""there is another half point to come in the near term, this week or next week at the latest...we see a whole point off base rates in the next two or three weeks.""     analysts stressed that apart from prestige, britain had very little to gain from a sharp rise in sterling's exchange rate.     martin, of phillips and drew, said the dampening effect of a sterling rise on consumer price inflation would not materialise for at least nine months while its hampering impact on manufactured exports would show almost immediately.     analysts said the budget, featuring income tax cuts as well as cautious plans for public finances, had improved the chances of re-election for the conservative government and probably advanced the election date. one must be held before june, 1988. combined with overall good prospects for the u.k. economy, this was likely to fuel a foreign rush on sterling-denominated assets, pushing the pound's value well above unofficial targets.     with mark-denominated investments largely out of favour because of low yields and a dull economic outlook, chase's marshall said ""sterling is simply the best game in town, especially after the budget, and demand will remain strong.""  reuter ;","('interest', 'money-fx')","('interest',)"
866,"lawson says uk interest rate prospects unchanged u.k. chancellor of the exchequer nigel lawson said the collapse of british share prices this week held no implication so far for domestic interest rates.     he said in a television interview that ""there is nothing in the events of the past few days to increase the upward pressure on (u.k.) interest rates.""     sterling has so far stayed solid during the crisis, backed by strong economic fundamentals and by 10 pct bank base lending rates, analysts said. lawson's comments followed another frantic day in london's financial center, where british shares closed 12.2 pct down on the day.  reuter ;","('interest',)","('interest',)"
867,"henley group <heng> unit wins taiwan contract henley group inc's m.w. kellogg co unit said it was selected by <chinese petroleum corp> to design, engineer and build a ethylene plant at chinese petroleum's kaohsiung refinery in taiwan.     terms of the contract were not disclosed, but kellogg said the total cost of the plant will be 300 mln dlrs.     kellogg said engineering of the plant, which will have a capacity of 400,000 tonnes a year, is already underway and construction will begin in 1988.     the plant will go into operation in 1990, kellogg said.  reuter ;","('pet-chem',)","('acq',)"
868,"nova <nva.a.to> not planning dome <dmp> bid nova, an alberta corp, chief executive robert blair expressed hope that dome petroleum ltd <dmp> remains under canadian ownership, but added that his company plans no bid of its own for debt-troubled dome.     ""we've no plan to bid,"" blair told reporters after a speech to a business group, although he stressed that nova and 57 pct-owned husky oil ltd <hyo> were interested in dome's extensive western canadian energy holdings.     ""but being interested can sometimes be different from making a bid,"" blair said.     transcanada pipelines ltd <trp> yesterday bid 4.30 billion dlrs for dome, but dome said it was discontinuing talks with transcanada and was considering a proposal from another company and was also talking with another possible buyer, both rumored to be offshore.     asked by reporters if dome should remain in canadian hands, blair replied, ""yes. i think that we still need to be building as much canadian position in this industry as we can and i think it would be best if dome ends up in the hands of canadian management.""     he said he did not know who other possible bidders were.     blair said that any move to put dome's financial house in order ""will remove one of the general problems of attitude that have hung over western canadian industry.""     he added, however, that the energy industry still faced ""a couple of tough, tough additional years.""     asked about nova's 1987 prospects, blair predicted that nova's net profit would rise this year to more than 150 mln dlrs from last year's net profit of 100.2 mln dlrs due to improved product prices and continued cost-cutting.  reuter ;","('acq',)","('acq',)"
869,"sdc sydney cost review may eliminate products <sdc sydney development corp>, earlier reporting an increased nine month operating loss, said a cost control review now underway may result in cost reduction and elimination of unprofitable and non-strategic products and services.     the company's operating loss for the nine months ended december 31, 1986 increased to 7.7 mln dlrs from a loss of 1.7 mln dlrs in the prior year, it said earlier.     revenues increased by 20 pct to 11.8 mln dlrs from year-earlier 9.8 mln dlrs.  reuter ;","('earn',)","('earn',)"
870,"unocal <ucl> raises crude oil postings unocal corp said it raised the contract price it will pay for most grades of crude oil 50 cts a barrel, effective today.     the increase brings unocal's posted price for the u.s. benchmark grade west texas intermediate to 17.50 dlrs a barrel. it also brought the price for west texas sour to 17.50 dlrs a bbl. light louisiana sweet was also raised 50 cts to 17.85 dlrs/bbl.     unocal last changed its crude postings on march four, and brings it price in line with other major companies, which have been raising prices steadily in recent weeks.     the increase also represents the latest in a series of increases that began with usx corp's <x> marathon petroleum corp's notification yesterday evening that, effective today, it raised its crude postings 50 cts a barrel, bringing its contract price for wti to 17.50 dlrs a barrel.     earlier today, sun co <sun>, phillips petroleum <p> and diamond shamrock <dia> also said they raised their crude postings 50 cts a barrel, bringing their wti contract price to 17.50 dlrs a barrel.     contract prices have risen in response to higher spot market prices, oil traders said.  reuter ;","('crude',)","('crude',)"
871,"u.s. exporters report 143,000 tonnes corn  sold to taiwan for 1986/87, 1987/88
","('corn', 'grain')","('corn', 'grain')"
872,"white house says interest rates reflect market the white house said the rise in interest rates was ""unfortunate in a general sense"" but reflected market forces.     ""there's always movement up and down and the basic fact is that we believe the economy is strong and growing and there will always be fluctuations in the interest rate, but the economy is sound and in good shape,"" spokesman marlin fitzwater said.     citibank raised its prime rate by one quarter of a point and the move was followed by other banks.  reuter ;","('interest',)","('interest',)"
873,"paton reports u.s. green coffee roastings higher u.s. roastings of green coffee in the week ended march 21 were about 250,000 (60-kilo) bags, including that used for soluble production, compared with 195,000 bags in the corresponding week of last year and about 300,000 bags in the week ended march 14, george gordon paton and co inc reported.     it said cumulative roastings for calendar 1987 now total 3,845,000 bags, compared with 4,070,000 bags by this time last year.  reuter ;","('coffee',)","('coffee',)"
874,"inspeech <insp> buys norma bork, bork medical inspeech inc said it acquired norma bork associates inc and bork medical services inc for undisclosed terms.     these firms, with combined revenues of about one mln dlrs, are providers of speech pathology, physical therapy and occupational therapy services.  reuter ;","('acq',)","('acq',)"
875,"japanese crushers buy canadian rapeseed japanese crushers bought 4,000 to 5,000 tonnes of canadian rapeseed in export business overnight for may shipment, trade sources said.  reuter ;","('oilseed', 'rapeseed')","('oilseed', 'rapeseed')"
876,"canada outlines gatt agricultural reform plan canadian trade minister pat carney said that agricultural policies should not hurt world international trade and should therefore become more price responsive over time.     she told delegates at the informal meeting of trade ministers that this was one of five principles canada wanted adopted in reforming agriculture in the general agreement on tariffs and trade (gatt). secondly, support for agriculture should avoid production incentives, and thirdly, countries should freeze and seek to reduce government aid measures that distorted world prices, carney said.     carney said the fourth principle was that countries should not introduce new import barriers not mandated by existing legislation and the fifth was that these basic principles must be implemented collectively.     carney later told reuters the canadian guidelines are basically compatible with the seven point australian proposals announced in davos, switzerland, in january.     european trade sources said the conference welcomed the canadian initiative but some delegates, and not only the european community, voiced reservations about some of the principles.     carney said there was a lot of political will among the ministers here to complete the uruguay round of gatt in under four years and that there is also a realisation that it has to be done in a balanced way.     ""the consensus view was to proceed as fast as we can on a broad front and see what areas emerge where we can get early conclusion,"" she said.     however, the meeting did not identify what those areas are, carney said.  she said canada/u.s. bilateral trade negotiations, which must be concluded at least in draft form by october, are progressing well.  reuter ;","('trade',)","('trade',)"
877,";
venezuela says opec oil output 0ver 18 mln bpd caracas, oct 19
- the current opec oil production is above 18 mln barrels per
day (bpd) and this level threatens the precarious equilibrium
of the of oil market, venezuelan energy and mines minister
arturo hernandez grisanti said on monday.
    he told reporters three or four countries out of opec's 13
members were mainly responsible for the overproduction, but
declined to identify them.
     opec's production ceiling for the second half of 1987 is
16.6 mln bpd. the venezuelan minister said opec's production
reached a peak this year when it went over 19 mln bpd in
august.
    hernandez grisanti, together with the oil ministers of
nigeria and indonesia, met the heads of state of six mideast
gulf countries earlier this month to urge opec members to
comply with assigned production quotas.
    he said some of the countries which were complying as
venezuela, indonesia, libya, algeria, ecuador, saudi arabia and
iran.
    hernandez declined to say whether the three or four
countries he said were overproducing bordered the mideast gulf.
 reuter
;

","('crude',)","('crude',)"
878,frisch's restaurants inc <frs> sets quarterly qtly div 5-1/2 cts vs 5-1/2 cts prior     pay april 16     record april six  reuter ;,"('earn',)","('earn',)"
879,"clayton homes inc <cmh> 3rd qtr march 31 net shr 21 cts vs 18 cts     net 2,256,000 vs 1,915,000     revs 38.2 mln vs 35.3 mln     nine mths     shr 62 cts vs 56 cts     net 6,474,000 vs 5,808,000     revs 125.9 mln vs 112.3 mln     backlog nine mln vs six mln     note: share adjusted for five-for-four stock split in june 1986.  reuter ;","('earn',)","('earn',)"
880,"homestead financial corp <hfl> 3rd qtr net shr 30 cts vs 73 cts     net 3,992,000 vs 8,526,00     nine mths     shr 1.72 dlrs vs 1.74 dlrs     net 22,110,000 vs 20,379,000     avg shrs 13,459,000 vs 11,740,000     note: prior nine month figures include extraordinary after-tax loss of 10.9 mln dlrs, or 93 cts per share.  reuter ;","('earn',)","('earn',)"
881,"pennzoil sees lower 1st qtr net before unusual item against year ago loss 49 cts
","('earn',)","('earn',)"
882,shared medical systems corp <smed> sets payout qtly div 18 cts vs 18 cts prior     pay april 15     record march 31  reuter ;,"('earn',)","('earn',)"
883,interconnect prefers friendly gates <glj> offer <interconnect capital> said it seeks to acquire gates learjet corp on friendly terms.     late yesterday the company said it has offered 7.07 dlrs per share for all gates learjet shares.     interconnect capital said it intends to purchase the <gates corp> loan to gates learjet for 13 mln dlrs should its bid be successful.     interconnect capital is controlled by <interconnect inc>.     gates corp owns 64.8 pct of gates learjet.  reuter ;,"('acq',)","('acq',)"
884,"steel firms study usx <x> unit price hike two major steel companies said they were studying a price increase announced yesterday by usx corp's uss steelmaking division.     spokesman for armco inc <as> and bethlehem steel corp <bs> said the proposed price hike was under study.     yesterday, uss said it plans to raise base prices on plate products by 20 dlrs a ton, or about five pct, effective with shipments october 4.     a spokesman for ltv steel co, a unit of ltv corp <qltv>, declined comment, adding that the company does not make heavy plate and makes few other plate products.     a spokesman for <national steel corp>, a joint venture of national intergroup inc <nii> and nippon kokan k.k., said the company is not in the product lines affected.     reached later, an inland steel industries inc <iad> spokesman said the company was studying the pricing move.     usx said the increase will be on all plate products, including carbon, high-strength low-alloy, strip mill and alloy plates. it also said it planned 20-dlr-a-ton increases on some special plate widths and thicknesses.     analysts have said firm prices for steel should contribute to better results at the nation's major steelmakers.  reuter ;","('iron-steel',)","('iron-steel',)"
885,"morgan stanley group <ms> unit in gas deal morgan stanley group inc unit natural gas clearinghouse inc said it has reached agreement with (pan-alberta gas ltd) of canada to import substantial quantities of natural gas for its u.s. customers.     the company said potentially 500 mln cubic feet a day of canadian natural gas could be imported under the agreement.     it said the natural gas would be competitively priced but did not refer to specific prices.     pan-alberta is owned by nova <nva.a.t> and alberta energy co, the company added.  reuter ;","('nat-gas',)","('acq',)"
886,"cocoa consumers narrow gap on buffer stock issue representatives of cocoa consuming countries at an international cocoa organization, icco, council meeting here have edged closer to a unified stance on buffer stock rules, delegates said.     while consumers do not yet have a common position, an observer said after a consumer meeting, ""they are much more fluid ... and the tone is positive.""     european community consumers were split on the question of how the cocoa buffer stock should be operated when the icco met in january to put the new international cocoa agreement into effect, delegates said.     at the january meeting, france sided with producers on how the buffer stock should operate, delegates said. that meeting ended without agreement on new buffer stock rules.     the ec commission met in brussels on friday to see whether the 12 ec cocoa consuming nations could narrow their differences at this month's meeting.     the commissioners came away from the friday meeting with an informal agreement to respond to signs of flexibility among producers on the key buffer stock issues, delegates said.     the key issues to be addressed at this council session which divide icco members are whether non-member cocoa should be eligible for buffer stock purchases and what price differentials the buffer stock should pay for different types of cocoa, delegates said.     a consumer delegate said producers and consumers should be able to compromise on the non-member cocoa question.     a working group comprising delegates from all producing and consuming member countries met briefly this morning, then broke up into a producer meeting and an ec meeting, followed by a consumer meeting.     producers, who are in favour of the buffer stock buying a variety of grades of cocoa and oppose non-member cocoa being accepted, reviewed their position ahead of the working group meeting this afternoon.     ""we are waiting to see what consumers say,"" a producer delegate said. ""we hope they will be flexible or it will be difficult to negotiate.""     the icco comprises 33 member countries. non- members include the u.s., a consumer, and malaysia, an increasingly important producer.  reuter ;","('cocoa',)","('cocoa',)"
887,"france's balladur says target zone notion nearer french finance minister edouard balladur said that the financial community is closer to arriving at a system of target zones for currencies despite the fact that little is being said about them.     speaking with reporters at the semiannual meetings of the international monetary fund, balladur said, ""we are not very far from the notion of target zones, even if we don't say so.""     he told reporters that ""our ideas are progressing,"" adding that the finance ministers have been talking about more cooperation on economic policies and on levels around which currencies should stabilize.  reuter ;","('money-fx',)","('money-fx',)"
888,"bank of japan intervenes soon after tokyo opening the bank of japan bought a small amount of dollars shortly after the opening at around 145.30 yen, dealers said.     the central bank intervened as a medium-sized trading house sold dollars, putting pressure on the u.s. currency, they said.     the dollar was also supported by a major electrical consumer goods company, which was a speculative dollar buyer at around 145.25 yen, they added.     the dollar opened at 145.33 yen against 145.60/70 in new york and 145.25 at the close here yesterday.  reuter ;","('dlr', 'money-fx')","('dlr', 'money-fx')"
889,"first federal savings <ffkz> year net shr 78 cts vs one dlr     net 1,413,000 vs 1,776,000     assets 705.3 mln vs 597.3 mln     deposits 495.6 mln vs 493.9 mln     loans 260.0 mln vs 379.7 mln     qtly div six cts vs six cts prior qtr     pay april 1      record march 6     note: 1986 net includes charges from accounting changes, from one-time expenses associated with a proxy contest and an increase in loan reserves.     first federal savings and loan association of kalamazoo is full name of company.  reuter ;","('earn',)","('earn',)"
890,"lower refinery operations seen producing profits u.s. refiners will have to reduce operations if they want to be profitable this year, said industry officials attending the national petroleum refiners association meeting here.      ""if the refining sector can discipline itself to refine about 12 mln barrels of crude oil a day, we have a chance to pull down inventories to acceptable levels by the second quarter, said archie dunham, executive vice president of petroluem products at conoco inc     ""if not, the industry will have a tough 1987,"" he added.      last week's american petroleum institute report said that u.s. refining capacity rose three pct to 78.7 pct of capacity, with crude oil runs at 12.2 mln barrels per day for the week ended march 20.      the api said that with the higher crude oil runs,  distillate and gasoline inventories were sharply above year-ago levels. gasoline stocks were at 245.6 mln barrels, some 17.2 mln barrels above year-ago levels. distillate stocks, at 108.7 mln barrels, are 10.9 mln barrels above last year's level, the api said.      henry rosenberg, chairman of crown central petroleum corp <cnp> told reuters that unless refining and marketing return to profitability, oil companies will have to rely on downstream operations to produce an acceptable level of earnings.      ""the jump in refining capacity is a concern if it continues,"" said kenneth buckler, executive vice president of refining and marketing at <total petroleum co>, a u.s. subsidiary of cie francaise des petroles of france.      refineries should operate near 75 pct of capacity given the current level of demand but the operating level should increase as gasoline demand picks up in the next quarter, buckler said.      dunham said the potential operable capacity of u.s. refineries should also be cut about 500,000 barrels of crude per day. ""i expect to see the shutdown of more small refineries over the next five years,"" he said, adding that these facilities refine between 10,000 and 30,000 barrels of crude oil per day. the api said u.s. operations have the capacity to refine 15.6 mln bpd of crude.  reuter ;","('crude',)","('crude',)"
891,"grain ships waiting at new orleans nine grain ships were loading and 16 were waiting to load at new orleans elevators, trade sources said.  elevator                     loading  waiting  continental grain, westwego     1      5  mississippi river, myrtle grove 1      0  adm growmark                    1      2  bunge grain, destrehan          1      0     elevator                loading  waiting  st charles destrehan         1      1  reserve elevator corp        1      0  peavey co, st elmo           1      1  cargill grain, terre haute   1      4  cargill grain, port allen    0      0  zen-noh                      1      3  reuter ;","('grain', 'ship')","('grain', 'ship')"
892,"bundesbank adds money market liquidity the bundesbank came into the domestic money market to add temporary liquidity through federal government funds as call money rates rose above 4.0 pct, dealers said.     they estimated that the bulk of liquidity was added at about 3.95 pct. call money fell to 3.90/4.0 pct after the move. it had been 3.80/90 on friday.     the move came as call money extended a rise begun friday after the bundesbank took up some six billion marks owed to it by other european central banks after currency interventions in the framework of european monetary system in january.     rates could ease further in trading today but dealers expect them to rise later in the week as banks begin paying out funds for tax payments on behalf of clients.     some 30 billion marks is likely to leave the market this month, with the bulk being paid out next week.     in anticipation of this liquidity drain, banks have stocked up reserves at the bundesbank.     on thursday, minimum reserve holdings declined to 57.0 billion marks from 60.0 billion on wednesday but were well above the 53.2 billion held on tuesday. daily average reserve holdings rose slightly to 54.7 billion marks from 54.5 billion.     the daily average reserve holdings were above the level of around 51 billion marks dealers said is needed for the required daily average for the month.     with the heavy tax drain in march, banks are likely to remain cautious about taking more liquidity out of reserves than is absolutely necessary.     however, a new securities repurchase pact likely to be added next week to replace a facility expiring then could somewhat offset the drain.     the bundesbank is expected to allocate more than the 3.4 billion marks which is due to be rolled over, dealers said.  reuter ;","('interest', 'money-fx')","('interest', 'money-fx')"
893,"spectran corp <sptr> 4th qtr shr loss 2.22 dlrs vs profit 16 cts     net loss 10.2 mln vs profit 760,443     revs 1.1 mln vs 3.7 mln     year     shr loss 3.68 dlrs vs profit 64 cts     net loss 16.9 mln vs profit 2.7 mln     revs 3.6 mln vs 15.2 mln     note:1986 4th qtr includes 6.7 mln dlr restructuring charge and writedowns of 280,000 dlrs. year includes writedown of 3.6 mln dlrs.  reuter ;","('earn',)","('earn',)"
